Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Electricity,129530000,131680000,134540000,135460000,137030000,142650000,147680000,152710000,165340000,171990000,175680000,183230000,184860000,186590000,194850000,196670000,201230000,204030000,205870000,211630000,205030000,198400000,199040000,186970000,180730000,188960000,194740000,189780000,183330000,179040000,171970000,163140000,156490000,152650000,152540000,147580000,137790000,129780000,112780000,83880000,55320000,54280000,52460000,50510000,46470000,46360000,46360000,45480000,44550000,45550000,44860000
Stationary energy,66170000,66950000,67470000,69370000,69350000,71240000,71250000,73210000,73350000,74460000,74800000,75130000,76660000,80170000,79430000,81210000,80500000,81420000,83890000,82850000,83130000,85460000,87760000,92390000,93210000,88920000,89810000,93810000,97100000,98490000,99320000,102040000,101890000,99320000,97310000,95340000,94380000,96960000,97080000,94760000,93000000,91450000,89340000,88110000,86380000,83850000,80680000,78380000,76020000,74040000,72590000
Transport,61180000,60610000,61620000,63200000,64700000,68040000,69920000,71210000,71420000,72260000,73850000,73810000,75310000,77690000,80770000,81800000,83050000,84910000,86670000,86890000,88360000,90970000,91480000,92810000,92750000,94870000,95860000,97460000,99750000,99810000,92720000,89620000,89520000,96610000,98390000,98700000,98260000,97620000,96280000,94410000,92410000,90460000,88600000,86810000,85110000,83480000,81940000,80460000,79110000,77830000,76650000
Fugitives,40460000,39790000,41740000,40540000,38350000,40020000,39520000,42470000,43670000,40580000,43960000,43930000,42610000,40860000,40760000,42780000,43680000,46800000,46110000,45820000,45430000,43970000,44960000,45930000,43710000,49040000,50560000,53830000,56900000,58240000,55260000,49660000,49170000,48910000,47370000,45310000,47810000,49680000,48720000,47110000,44350000,43540000,42930000,42170000,41970000,40590000,38670000,38300000,35720000,34400000,34390000
Agriculture,94240000,93640000,90770000,88290000,88180000,84670000,86650000,87730000,87730000,87550000,91000000,89920000,89680000,84220000,87460000,86690000,85590000,82110000,79390000,79330000,76720000,81200000,82580000,83000000,83240000,80090000,78640000,83220000,82240000,75950000,73770000,78760000,79630000,82390000,80950000,80440000,79900000,81680000,83520000,82000000,80600000,80650000,80740000,80800000,80870000,80940000,81000000,81050000,81100000,81150000,81200000
Industrial processes,25110000,24310000,24880000,24630000,24870000,24640000,24340000,24420000,25470000,25910000,25760000,26590000,27050000,29520000,30820000,30130000,30610000,32650000,32670000,30500000,33530000,34350000,32000000,29780000,29710000,30510000,30600000,31190000,31750000,32500000,31860000,32750000,32890000,32990000,30680000,30010000,29350000,28670000,28180000,27390000,26820000,26100000,25320000,24610000,24150000,23300000,22490000,21610000,20720000,20290000,19600000
Waste,23460000,23380000,23120000,22930000,22160000,22090000,20220000,19910000,19090000,19210000,18570000,18870000,18920000,16310000,15870000,15710000,15460000,15850000,16370000,16190000,16040000,15580000,14250000,13270000,13220000,12710000,13070000,13320000,12800000,13260000,13460000,13590000,14040000,13790000,13790000,13790000,13600000,13520000,13430000,13050000,12740000,12560000,12430000,12330000,12270000,12210000,12150000,12100000,12060000,12020000,11980000
LULUCF,180700000,161220000,118310000,96960000,86110000,64880000,60440000,46900000,50740000,65510000,75540000,83100000,83760000,82750000,49700000,76940000,108310000,83000000,69810000,62130000,68380000,35620000,8540000,18870000,8190000,-4970000,-56430000,-25890000,-55550000,-61030000,-60640000,-89640000,-83000000,-73700000,-73700000,-73700000,-66980000,-60460000,-55760000,-52140000,-51630000,-50230000,-49400000,-48940000,-48170000,-49560000,-50910000,-51310000,-51740000,-52160000,-52600000
