date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.9,1.9,3.1,4.4,5.7,7,7.9,8.6,9.3,9.8,10.3,10.5,10.6,10.3,9.9,9.4,9.1,8.6,7.8,7.2,6.3,5,3.9,2.7,1.6,0.9,0.4,0.1,0,0,0,0,0,0
2017-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,1.7,2.7,3.8,4.9,6.2,7.2,8.3,9.3,10.3,11.2,11.6,12.2,12.1,12,11.7,11.3,10.4,9.1,8,6.6,5.5,4.3,3.2,2,1.1,0.5,0.2,0,0,0,0,0,0
2017-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,1.6,2.6,3.7,5,6,7.3,8.7,9.4,10.3,11,11.4,11.5,11.6,11.5,11.3,10.7,10,9.1,8,7,5.9,4.7,3.4,2.3,1.3,0.6,0.2,0,0,0,0,0,0
2017-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,1.9,3.2,4.6,6,7.1,8.4,9.4,10.4,10.6,11.2,11.8,12.4,12.2,12,11.3,10.7,10.1,9.1,8.2,7,5.6,4.4,3.1,2.1,1.3,0.6,0.2,0,0,0,0,0,0
2017-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,1.6,2.7,3.9,5.1,6.4,7.4,8.2,8.7,9.3,9.6,9.6,9.8,9.7,9.6,9.3,9.2,8.8,8,7.1,6.1,5.1,4.1,3,2,1.2,0.5,0.2,0,0,0,0,0,0
2017-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.9,1.8,2.9,4,5.2,6.4,7.3,8.3,9.3,9.7,10.1,10.3,10.1,10,9.8,9.7,9.4,8.8,8,7.3,6.3,5.1,4,3,2,1.2,0.5,0.2,0,0,0,0,0,0
2017-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,1.9,3,4.2,5.7,7.2,8.4,9.4,10,10.5,10.7,11.1,11.1,11,10.8,10.6,9.9,9.5,8.8,7.8,6.4,5.3,4,2.8,1.8,1,0.4,0.1,0,0,0,0,0,0
2017-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.9,1.8,3,4.5,6,7.4,8.5,9.6,10.7,11.4,12,12.3,12.3,12.2,12,11.4,10.6,10,9.1,8.1,7.2,5.7,4.5,3.2,2.1,1.2,0.5,0.2,0,0,0,0,0,0
2017-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,1.7,2.7,3.8,5.1,6.2,7,7.5,8,8.6,8.7,8.8,8.9,9,9.2,9.3,9,8.3,7.6,6.8,5.7,4.8,4,2.9,2,1.1,0.6,0.2,0,0,0,0,0,0
2017-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,1.4,2.2,3.3,4.5,5.8,7.2,8.1,9.2,9.9,10.4,10.7,10.8,10.7,10.6,10.2,9.7,9.2,8.4,7.4,6.5,5.4,4.1,2.9,2,1.1,0.5,0.2,0,0,0,0,0,0
