date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3.5,7.5,12.5,17.2,21.4,23.6,25.2,26.9,29.4,31.2,33.1,33.9,32.8,32,31.2,30.5,30,28.5,26.9,24.9,22.4,18.3,13.4,10,6.2,3,1.5,0.5,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3.3,6.8,10.9,14,17.9,20.6,23.3,26.5,27.5,29.4,31.1,30.9,31,32.3,32.4,31.3,30.3,27.6,24.9,22.2,19.3,16.2,13.5,10.3,7.1,4,1.7,0.4,0.1,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3.6,7,11.2,14.3,16.8,19.6,22.1,25,28,30.9,32.8,33,34,34.8,35.4,36.1,34.8,31.7,28.2,25.7,22.3,19.2,15.6,11.5,7.2,3.9,1.7,0.5,0.1,0,0,0,0,0
2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.3,4.9,7.9,10.6,13.3,17.1,19.1,21,23,23.6,23.8,24.2,23.8,23.9,24.3,23.6,22,20.1,18.6,17,15.9,14.5,12.5,10.3,7.5,4,1.5,0.4,0,0,0,0,0,0
2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,4,8.7,13.2,17.3,20.7,23.7,26.2,28.3,29.2,30.1,30.5,30.9,30.2,29.6,29.1,28,26.9,25.3,23.4,20.8,18.4,16,13.1,10.8,7.8,4.6,1.8,0.4,0.1,0,0,0,0,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3.5,7.6,11.9,15.3,18.4,21.2,23.8,25.7,27,27.8,29.6,30.5,31.1,31,30.4,29.7,28.3,26.8,24.9,22.4,19.6,17,13.6,11,7.6,4.5,1.9,0.5,0.1,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3.2,7.1,11.3,15.5,18.6,21.6,24.8,27.4,29,30.4,31,31.3,31.6,31.4,31.1,31.2,30.8,29.6,27.6,24.8,22.2,19.4,17.1,13.2,9.4,5.4,2.2,0.5,0.1,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3.2,7.3,11.5,15.4,19,22.4,25.4,28.1,30.4,31.5,32.3,32.9,32.5,32.4,32.2,32.1,30.9,29.4,27.6,25.5,22.9,20.3,17.3,14,9.9,5.6,2.2,0.5,0.1,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3.9,9.1,14.3,18.6,22,25,27.8,30.8,33.1,35.3,35.7,36.1,35.7,35.5,34.9,34.8,33.4,31.8,30.3,27.8,24.7,20.3,16.3,12.7,9.3,5.3,2.1,0.5,0.1,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4.5,10.4,16.8,22.1,26.9,30.1,33.3,35.9,37.5,38.8,39.8,40,39.9,39.1,38.1,37.4,35.6,33.5,31.6,28.6,26,22.9,18.1,13.5,9.4,5.1,1.8,0.5,0.1,0,0,0,0,0
